wid,cleaned_hm,age,gender,marital,parenthood
2907,An event that made me happy was when my boyfriend told me his family members asked about me at an event I could not attend. ,21,f,single,n
2908,My wife was hungry and being pregnant had a certain craving for lunch. I went out of my way to get her that craving and she was really thankful. ,33,m,married,y
2909,In the past 24 hours my daughter learned to finally sit down unassisted and it made me super happy. She sat for a couple of seconds by herself without tipping over.,23,f,single,y
2910,"I finally completed a long, tiring task at work.",19,m,single,n
2911,"I made over $1,000 in the stock market.",54,m,married,n
2912,I was able to go back to school and go to classes that i failed before.,23,m,single,n
2913,I got to help a person book a trip to visit his parents whom he had not seen in a long time. ,40,f,married,y
2914,My grandson graduated from kindergarten and I really enjoyed his program.,56,f,married,y
2915,"At the end of the lacrosse travel team tryout, the coach and his wife walked up to me and extolled as to how good a player my son was adding in that he was fierce.  It was one of the many proud mom moments from yesterday.  ",52,f,married,y
2917,I am happy that I have finally been given a raise of pay on my job for I am now able to afford my medications.,56,f,married,y
2918,Just this past week I got to see some of my favorite artists perform live at a festival in Miami; I was overjoyed to actually see them in person. ,19,m,single,n
2919,"My sister, Keandra, asked me to go for a run after she got off school. I did and it felt great to be moving and stronger than her.",23,m,single,n
2921,when i won 50 dollars off a lottery scratch ticket,29,m,single,y
2922,"I met a stray cat a few days ago, and he already trusts me and is happy to see me every day.",25,f,single,n
2923,I had a second valve replacement surgery that was extremely successful.,69,m,married,y
2924,My achievement celebration organization,32,m,married,y
2925,"My students, in the college I work for spoke so nicely to me! I was flattered. Generally I will  be a butt of joke to them!",34,f,married,y
2927,i was released from jail.,34,f,married,n
2930,"There was a bomb threat at my kids school recently. I was absolutely terrified over it. Thankfully everyone made it to safety without incident. I was more than happy to know that my kids followed every direction to ensure that them, and their classmates made it to safety. ",27,f,married,y
2931,I found out that I got better grades than I expected for this past semester and found out about this recently. ,22,f,single,n
2933,My son finally used the potty was awesome,33,m,married,y
2934,Organizing a road trip to visit friends in Chicago and Toronto.,52,f,widowed,n
2935,"Last evening i attended my collage mate marriage reception. met all my class mates who attended the function. we had a good time, fun and laugh. we planned to meet in the future .",34,m,single,n
2936,i gave money to charity that made to feel very happy and i went to orphanage and met orphans which gave a immense satisfaction,28,m,single,n
2937,We have a big trip coming up this year and 1 month ago I paid off the $4500 balance. It was stressing me out and it was angering me towards the trip. The second I paid it off I jumped up for joy. It was like a heavy burden was taken off my shoulders. ,43,f,married,y
2938,"My best friend's wedding, my best friend since I was a kid had a tough life, and I like him a lot, so on his wedding seeing him so happy made me really happy too. ",36,m,married,n
2939,I won a game of chess against a loudmouth that thought I had no chance.,39,m,single,n
2940,Getting in a good workout made me happy.,29,f,single,n
2941,I won a bid on ebay for super cheap for an apple tv and an ipod lot. It made me super happy because I have been searching and bidding on ipods for a week and kept getting outbid.,35,f,single,y
2943,I listened to Carlos Rivera sing two songs.,45,f,single,n
2944,I finally finished a paper I had been working on all semester and turned it in.,26,m,single,n
2945,Playing with my cats and dog made me happy.,38,f,separated,n
2946,Watching the Dota 2 Asian Championship upper bracket finals between OG and iG.,22,m,single,n
2947,I spent the day at the river with my best friend tubing and hiking.,21,m,single,n
2948,"My employee was caught mocking a client and talking bad about our company on social media; he initially denied it but we had photographic evidence (this may seem like a terrible event, but it was someone that I had wanted off the bus for a while now but did not have a reason to do it).",29,m,single,y
2950,I went out to a new brewery with the first friend i've made in a long time.,31,m,divorced,n
2951,Passing all my college courses with a B and over after thinking I would fail the class because of a bad first test for one course.,23,m,single,n
2952,"I created a financial plan and stuck to it for the past few months, and I am already seeing results sprout from it.",21,m,single,n
2953,i didnt have to run to the store again i found another can of coffee.,31,m,married,y
2954,I got home from work and it was nice and warm outside so I could do clean up for Spring.  ,43,f,married,y
2955,I played guitar with a friend of mine for a couple hours.,28,m,married,y
2956,"My beautiful little cat was so happy to see me when I got home today, she rubbed against me and purred super loud.",43,f,single,y
2957,"We were competing against another team in a online game, I was playing with my friends most of them were my childhood friends, 
we grew up together and went to the same school since we're just kids. We've been playing this game together for almost 2 years 
now and we kinda formed a team for ourselves for this game. The game started smoothly and everyone was being hyped about the fight. 
Slowly, things started to become interesting and exciting then before we know it it became a close fight where the score was 2-2, 
1 more point
and the winner will be declared. Everyone was looking up to me since they knew I was the best within my friends in
this particular game. I started commanding them to what to do and what to expect against our enemies. This game,
 It was a team based game, 5 vs 5. My team was starting to fail and demoralization ensues 
but I tried and did my best, before I knew it, we won! I maneuvered through each attack of the enemy and with skill
and with some luck I dodged and countered them.",34,m,married,y
2958,"Early last week, I thought i found a photographer to work with.",18,f,single,n
2959,My girlfriend got a nice promotion at work and that made me happy as a result.,29,m,single,n
2960,I was happy when I was playing video games online with a friend living far away.,28,m,single,n
2961,"Presenting my poster at a scientific conference went very well. I was not nervous, was able to answer questions calmly, didn't trip over my words, etc. I was complimented on how put together I was and how well I explained my work.",23,f,single,n
2964,I made $13.00 from Amazon Turk surveys.,57,f,,n
2965,I managed to make $46 on Mechanical Turk. Which made me happy because I'm putting that money towards a new $250 office chair. So I'm 1/5 of the way there.,42,m,single,n
2966,I got a research grant to work with my professor over the summer. ,22,o,single,n
2967,"I received a job offer for after graduation. I received the offer during the phone interview, and was the perfect job and is with a well known public interest law firm. I was thrilled that my work in school had paid off. ",27,f,single,n
2968,The barista at Starbucks remembered my name when I ordered my regular drink.,22,f,single,n
2971,"I am a fan of Gonzaga, and I am glad that they made it to the championship game in basketball.",54,f,married,y
2972,LAST DAY I MET MY TEACHER.. AND ITS GAVE ME VERY PLEASURE ,23,f,married,n
2973,"One event that made me happy was getting an A in my anatomy class. The class was extremely difficult, and I worked very hard all semester. When my professor handed back our last exam in the class, she wrote on it that I had achieved an A in the class overall! This was great because it meant I didn't have to take our final exam. I felt both happy and relieved, and very successful. ",20,f,single,n
2974,"I get to see my best friend after a month, since I came back from a 1 month trip to Europe",24,m,single,n
2975,My grandchildren telling me how excited they were to go to Disney World.,67,f,divorced,y
2977,Today I saw my niece and her small baby. I am very glad to have family around this is the best.,33,m,single,y
2978,The day with my husband,30,f,married,y
2980,A girl came up to me at the gym and talked to me. We had a short conversation and at the end we exchanged telephone numbers.,26,m,single,n
2981,I received a video of my daughter dancing and singing while I was at work.,33,f,married,y
2982,I made over $30.00 today at my job taking pizzahut orders,45,f,married,y
2983,When my boyfriend and I cooked an awesome three course dinner together. ,38,m,single,n
2984,My wife let me sleep in today after a grueling night of work. ,28,m,married,y
2985,I was on a mountain with an amazing view and the guy I like said he'd make me his girlfriend jokingly.,21,f,single,n
2986,I was very happy just last week when after 7 months we finally got my new baby's ear infections cleared up and he is now healthy.,42,m,married,y
2987,My youngest daughter called me and we chatted for awhile.,61,f,married,y
2988,One event that made me happy recently was going out to an impromptu dinner with my family. We got to spend quality time together and also shared a meal. My husband and I are busy so it was nice to relax at a restaurant with our son. We talked and laughed and enjoyed each other's company. ,35,f,married,y
2989,When a new episode of The Simpsons came on TV and I watched it on my DVR.,27,m,single,n
2990,"My boy friend brought me flowers, essential oils and apples.",41,f,divorced,y
2991,Eating a meal from McDonalds.,55,f,divorced,y
2992,"The Christmas gathering took place on December 25 in 2016. All of my relatives gathered in my grandpa's place one or two days before the event. I have two paternal uncles and three aunts. They arrived with their kids. On the other side, we were six in number. So, it was almost a medium-scale crowd there. Everyone one greeted each other and shared their feelings. Additionally, my grandparents were extremely happy with this crowd of people. Actually, they are to live almost alone round the year and this is the time when they have chances to spend some quality moments. My grandpa was a retired professor of Physics while my grandma took care of the house. My parents or uncles were unable to meet them in regular days for their hefty schedules. The gathering was arranged each year to keep the bondage alive among all. So, in this time of the year, we made the gathering at my grandpa's place.
",45,m,married,y
2993,I bought a bunch of suits on the internet for my husband to wear when we go on vacation.  ,57,f,married,n
2994,I had my girlfriend's family over for dinner yesterday at our new apartment.,27,f,single,n
2995,Working on my grandfathers piano made me happy.,25,f,married,n
2996,"Yesterday evening my godson came over to visit me and we had some beers, talked and jammed a little bit with our guitars. It was very nice and I felt really happy that he took of his time to pay me a visit and share some quality time.",52,m,married,y
2997,The Edmonton Oilers made the playoffs for the first time in 11 years.,27,m,married,n
2998,I presented an important project at work and it went well.,28,m,single,n
2999,I had a nice pizza dinner with my kids. ,29,f,married,y
3000,I went home to see my girlfriend and dogs for an afternoon lunch.,37,m,single,n
3001,"My boyfriend, his daughter and I went to an arcade. 
",35,f,single,y
3002,Went on a road trip with my boyfriend and my son.  This was the first time that the 3 of us had been on a mini vacation together.,44,f,divorced,y
3003,When my alma mater and favorite team won the NCAA basketball championship. ,38,m,married,y
3004,my hubby give a surprise gift for our anniversary,29,f,married,y
3005,Passing my midterm exams,19,f,single,n
3006,The event that made me happy was seeing my brother for the first time in 20 years.,30,m,single,n
3007,"Last week I put in my two weeks notice at work, and today is my first full day off. I am going to use the time to help take care of my mother who is recovering from surgery, and that makes me happy to know that I am helping.",37,m,married,n
3008,i felt happy when i was sick and my wife showed so much care and love for me.,25,m,married,n
3009,In the morning my 2 years daughter apply ointment for my severe headache.,45,f,married,y
3010,I won a local fighting game tournament for the first time.,25,m,single,n
3011,"My little cousin graduated high school last night. He has had seizures his whole life, had brain surgery, and is a black man adopted by white uncle. I was very proud and happy for him. He hasn't had an easy life.",30,f,single,n
3013,"My friend sent me flowers on a random day, because he knew I've been struggling with a personal issue the past few weeks.",29,f,divorced,y
3014,I was exercising on the elliptical and my favorite song came on Spotify and I felt a burst of joy.,34,f,single,n
3015,I made an A on my economics paper this morning.,18,m,single,n
3016,My sister came home after a year..,24,f,married,n
3017,After three days of hard work I finally got a script automation program to work for a personal project I am doing.,40,m,divorced,y
3019,"Woke up with no fever, feeling really good after three days. ",29,m,married,n
3020,I went to a spiritual place in my neighbor state which was one of my favorite moment ,28,m,single,n
3021,I was happy because I contact a new client and he hired me,44,m,divorced,y
3022,Hearing my baby's heartbeat around the halfway mark of my pregnancy.,28,f,married,y
3023,"I went to my cousin's wedding. He and his now-wife are great people, and it was a fun party that I went to with all my family. ",25,m,single,n
3024,My wife and I found out that we are going to be having a baby girl.,30,m,married,n
3025,When my five year old daughter passed her first spelling test.,24,m,married,y
3026,"My husband and I were able to go out to dinner by ourselves.
",31,f,married,y
3027,I had lunch with some friends at work and we had a engaging conversation about our plans for the weekend,30,m,single,n
3029,"My son got an A+ on his Biology test, a class that he struggles in.",45,f,married,y
3030,Playing with my nephew in my yard. ,24,f,single,n
3031,"I bought my granddaughter a new bike for her birthday. She was happy, I was thrilled.i was very happy.It was a beautiful day. I took my iPad and a glass of wine, at 4 o'clock in the afternoon.Get together with old friends.We know that sleep helps our bodies to recover from the day and repair themselves, and that it helps us focus and be more productive. It turns out, it's also important for our happiness.",23,m,single,n
3032,My aunt who has been very sick in the hospital got to come home today. She is a dialysis patient and we found out that her kidneys were not shutting completely down. She was tested for several health issues and the results came back good.,51,f,married,y
3033,I was very happy last week when I accomplished one of my projects. I had been planning all year to build a vertical garden box out of a pallet. Last week I went and bought the supplies and that same day I built and filled my pallet garden box. I still look out the window at it and am so happy. ,30,f,married,y
3034,"I ate black raspberry ice cream with rainbow sprinkles while watching one of my favorite tv shows, Orange is the New Black. ",33,f,single,y
3035,I bought 3 month back a land in my name this was my long time plan as my family does not own any land we lived only as tenant i am very happy ,32,m,single,n
3036,I was surprised with a trip to Arizona. Tickets were bought for me and I went with my girlfriend over spring break.,22,m,single,n
3037,Recently found out I am finally pregnant after 9 months of trying. ,29,f,married,y
3039,getting out of jail,25,f,single,n
3040,I went to my cousins baby shower and it made me feel happy that i got to spend time with family.,28,f,single,n
3041,I won third place in my senior design competition,26,m,single,n
3042,"I was accepted into Mechanical Turk's workforce. This made me hopeful and happy that I can find an alternative to working as a camgirl. I had been working as an adult model and was very excited that I can actually make rent and pay bills with the help of Mechanical Turk. As an introvert who has social anxiety, this meant the world to me. ",29,f,separated,n
3043,Reading to my kids made me happy I love how excited they are to read at age 3 & 6.   ,32,f,married,y
3044,"This past month, I celebrated my 31st birthday and had a wonderful party to celebrate with friends and family.",31,f,married,y
3046,Spending time with my grandmother on Mother's day made me happy. We went out to brunch at a historical mansion.,26,m,single,n
3047,I played an old arcade game that I really used to enjoy and it brought back feelings of nostalgia.,27,m,married,n
3048,I volunteered at a Special Olympics event and it made me happy to feel like I was helping others.,32,f,single,n
3049,I am from a foreign country of America. But more passionate about working for America. Hence I was working hard to fit to American culture. I was learning accent and now prepared finally. This year my petition for h1b has been filed. this is the most happiest moment in my life.,29,m,married,y
3050,Last friday my girlfriend surprised me with dinner at home. I was very happy because she made my favorite dish.,29,m,married,y
3051,I was happy when I got home from work and ate a piece of tiramisu that my wife had made. ,53,m,married,y
3052,I won a project in a science fair. ,26,m,single,n
3053,I made money in the stock market after first time trying.,30,m,single,n
3054,When I got my paycheck.,23,m,single,n
3056,I was happy because a game I was waiting for came out and I enjoyed it.,27,m,single,n
3057,"After putting the finishing touches on a logo for a client, I was very much satisfied and happy with the result.",26,f,single,n
3058,I got a raise at work.,26,m,single,n
3059,I got hired as a journalist for an online gaming-related publication. ,25,m,single,n
3060,My cat fell asleep on my stomach.,26,m,single,n
3061,I sold a crocheted item that I made!,59,f,married,y
3063,I HAVE STARTED MY OWN BUSINESS WITH MY OWN MONEY.AND NOW I AM THE OWNER OF MY COMPANY,25,m,single,n
3064,"*i got married to my love.
",27,f,married,n
3065,"I hope you two are happy together.
",21,f,single,n
3066,I recently bought a new car.  I had been driving one of my parents old cars for almost three years and it finally was not worth putting the time or money into fixing.  I used some of my savings for a down payment and I am so happy that I now have a reliable mode of transportation!,33,m,single,n
3067,Went on our fraternity retreat with active and alumni brothers and did team building activities and strengthen the bonds of the brothers.,24,m,single,n
3068,I set my roommate up with one of my closest friends and they really hit it off on their first date.,23,f,single,n
3070,I felt very happy when I was able to help my 11 year old neighbor and her Dad catch their dog. The dog escaped but I was able to help catch her by tempting the pup with treats. My neighbors were very happy to have their dog on the leash again. ,34,f,single,n
3071,My kids played well together while we were at a store.,26,f,married,y
3072,I accepted a promotional position at my job.,35,m,single,n
3073,Spending weekend with family.,38,f,married,y
3074,I watched Smackdown after Wrestlemania and it was mildly enjoyable.,29,m,single,y
3075,When my 6 month old sat up by himself unattended for the first time.,33,f,married,y
3076,"My friends got together to wish me a happy birthday, it made me feel good to have such nice friends.",23,m,single,n
3077,When I watched Dave Chapelle's new comedy series.,21,m,single,n
3078,Going on a trip to Disneyworld with my family a month ago made me very happy. ,34,f,single,y
3079,I started gardening and earned money from it..,29,f,married,y
3080,"In the past 3 months, an event that made me happy is when I lost 70 pounds in three months because I felt that anything was possible.",22,m,single,n
3081,A very old friend visited me at home.,31,m,single,n
3082,"I watched my daughter play in a splash pad, screaming ""I am having so much fun!""",35,f,married,y
3083,It got warmer outside and melted some of the snow. ,33,f,married,y
3084,I was happy going to physical therapy this morning because it made me feel better later on during the day.,25,f,single,n
3085,I received a job offer.,22,f,single,n
3086,The sun is shining and there are no clouds in the sky.,25,m,single,n
3087,I celebrated my son's first birthday yesterday with friends and family.,40,m,married,y
3088,I went to church & listened to a very inspiring sermon on forgiving yourself. ,34,f,married,y
3089,"Two days ago I ran 5.26 miles. This made me really happy. This may not sound like a big achievement, but in December, I tore my hip flexor muscle. I did not pull it, I tore it. I could barely walk. I had no idea it would take 5 months to heal. I FINALLY feel like I can get back in my groove of running and that makes me truly happy.",39,f,married,y
3090,I had a wonderful evening with my lover.,55,f,divorced,y
3092,Yesterday I started a project in my backyard that I've been wanting to do for the past 2 years.  I wasn't sure if I was strong enough but I surprised myself and was able to move a large amount of lumber on my own.  This made me feel very proud and confident in my abilities and that made me happy.,33,f,married,y
3093,I did a hit on M-turk that I received $22.00.,65,f,married,y
3094,"One of my happiest recent moments in the past 3 months is the day a couple of weeks ago that I actually had a normal day off from work, didn't have to do anything around the house and took my dog for a walk.  He was happy to walk with me and it was such a beautiful day outside to go for a walk and I hadn't gone for a walk with him in the longest time.",35,f,married,y
3095,Today in class my teacher asked a question and I answered. He seemed very impressed by my answer and praised my answering.,26,f,married,n
3096,i have been promoted as senior finance manager,25,m,single,n
3098,Watching a movie all my myself on the couch.,33,f,single,y
3099,I was thrilled to visit my daughter in her new home away from the California desert.,73,f,married,y
3100,i have finished level 2 on a German learning app.,21,m,single,n
3101,I had a date night with my husband. ,34,f,married,y
3102,We finished up some long-overdue home improvement projects and the end result was very rewarding. The house looks nice and that made me happy.,32,f,married,n
3103,I went on a date with the woman who would become my girlfriend. ,50,m,divorced,y
3104,I was so happy to hear from my six year old grandson that he was chosen to be in a school play and it's going to be about the Three Little Pigs. ,64,f,married,y
3105,I was very happy when my husband finally came home from work.,27,f,married,y
3106,I brought my dream car that I always wanted.,54,m,separated,y
3107,I started dating the love of my life and had some of the most amazing moments with another person that I've ever experienced,28,f,single,n
3108,I completed my computer science lab yesterday morning and it made me happy because I was struggling on it and finally was able to finish it with a 100%. ,22,m,single,n
3109,"My crush accepted my friend request on Facebook. I sent her a message to ask her how she is doing and to thank her for accepting my friend request, but she has not replied yet.",22,f,single,n
3111,"I spent almost a month with great anxiety regarding my result publication. I started speculating so many things and many of them were negative. I could hardly keep away the tensions about my upcoming result. The result was so important that my college admission would mostly depend on it. I could not sleep well in the night before the result publishing. I think this is a common anxiety for students and I was familiar with this type of anxiety. However, this particular exam results game me more nightmares than any other time of my life.",28,m,single,n
3112,My boyfriend told me he probably loves me.,26,f,single,n
3113,"In the past three months, an event that made me happy was arriving back in the United States after living abroad for 18 months. ",29,m,married,n
3114,"I recently adopted a puppy, I saw pictures of him online and I fell in love. It was not completely the right timing for a puppy in my life but he's been amazing. He runs around playing and is happy nearly all the time. He's responsive and affectionate he knows his name and walks on the leash like a champ. I have cleaned up a million accidents and my stuff is starting to look chewed up but I am very happy.  ",36,f,married,n
3115,"One of my friends came to visit me. I recently moved to a new state and I don't really know anybody here, but one of my friends was in the area and decided to stop by. We had a pretty good time together.",25,m,single,n
3116,"A week ago I had sex, and it was great!",44,m,married,y
3117,"My daughter ran a 5k called ""Girls on the Run"". The training focuses on building confidence in girls. ",36,o,single,y
3118,I was able to spend all day with my mother on Mother's Day which is something that I rarely get to do.,26,m,single,n
3119,"Yesterday when I was jumping on the trampoline with my small children, I was very happy. I havent gotten to spend very much one on one time with them lately, so It was especially fun to jump around with them and watch them laughing and playing. I even took out my camera and took pictures of it to remember the good time we were having together.",30,f,separated,y
3120,I have a friend who graduated college a few years ago and has been trying to get a good job that will utilize her degree and she finally got a job working for Facebook.,23,m,single,n
3121,I am happy today because it is 10 years ago that my wife and I were married.,47,m,married,n
3122,"I was able to take two of my kids to the store, and the other two were with their dad. It was a very pleasant experience.",35,f,married,y
3123,"The pool team that I play in won our match tonight at home, 6-3. A decent performance.",28,m,married,y
3124,Having my 4 year old niece start a My Gym class and seeing her enjoy it and interacting with the other kids for the 1st time.,34,f,single,n
3125,"I had an excellent conversation with my mother. We discussed how happy she was about my job and current life situation - like girlfriend, apartment, outside activities, etc. It made me so happy and overjoyed that she was proud of me and what I was doing. I try very hard to make her proud of me and hearing a conversation with her where she praised my decisions made me smile quite a bit.",26,m,single,n
3126,My husband felt our baby kick for the first time yesterday. ,25,f,married,y
3127,the birth of my dog's puppy,47,f,single,n
3128,"I had a new furnace and central air conditioner installed to replace old HVAC equipment, and received both a 0% interest 7-year loan for this and $1750 in rebates from nan.",67,f,married,y
3129,"I went to french fest and did a wine tasting, the wine was good and the woman I shared a table with was nice and fun to talk to.
",62,f,divorced,y
3130,This month was my birthday and it made me happy that my wife took me out for a romantic date. It made me feel special and loved by her and it was nice to get out. ,34,f,married,n
3131,I felt really happy when i saw an okra plant coming out of the seed that i planted. ,35,m,married,y
3133,I got to go pick up the crampons I ordered from REI today.,32,f,single,n
3134,The birth of my twins. ,28,f,married,y
3135,My dad present me a Luxurious car on my birthday.,23,m,single,n
3137,I woke up to see my wife looing back and me and smiling.,68,m,married,y
3138,I went and bought myself a new gaming keyboard and mouse from Best Buy.,25,m,single,n
3139,"I received a surprise gift, a Jean from my husband through Amazon. I thought it's for someone else, but when he gave it to me I was in cloud 9.",29,f,married,y
3140,"About three hours ago, my college basketball team just won and are now in the finals. I'm thrill that they made it again. Since last year they also made it to the finals but lost. This is going to be their redemption. ",32,m,single,n
3141,I had the opportunity to play video games with my nephews.,28,m,single,n
3142,"I am a school teacher, and I had a large percentage of my class pass our last weekly test.  ",29,f,married,y
3143,I finished a model kit which I have been working on for the past several weeks.,26,m,single,n
3144,I finished the college semester.,20,f,single,n
3145,I ate food.,28,m,single,n
3146,LAST DAY  I MET MAY TEACHER.... AND ITS GAVE ME VERY PLEASURE,24,f,single,n
3147,I woke up early this morning and witnessed a beautiful sunrise.,56,m,married,y
3148,I went to the store and purchased a case of beer.  I had been dreaming of a case of beer all day long and I finally left work and bought a one. ,41,m,married,n
3149,I got my test back in History Class and found out that I had received an A. ,21,f,single,n
3150,We had a wonderful meal for dinner at the Taco Bar.,61,m,married,y
3151,"i feel too many happy moment during 3 months.
1st one i got new job just after my education complete which is most happiest moment that i stand my self.my family feel proud of me. ",28,f,married,y
3152,"I ATTENDED MY FRIEND SCHOOL ANNUAL DAY FUNCTION
",27,m,married,y
3153,I was able to build a brick entrance by myself.,35,f,divorced,y
3154,I was happy when I got my paycheck at the end of the month.,30,m,single,n
3155,I felt happy when I was able to get coupons and combine them with a big sale to pay a few bucks for 4 packs of baby pampers.,41,f,single,y
3156,"Within the past 3 months, my friend giften me some expensive makeup that I had been wanting. ",22,f,single,n
3157,The moment that made me the happiest in the last 3 months was a date I went on with a friend.,23,m,single,n
3158,Ate dinner with the family.,32,m,married,y
3159,"In the last twenty four hours, the event that made me happiest was dinner with my boyfriend's family and watching the basketball game with them. ",23,f,single,n
3160,I found out my favorite show has updated after 4 years. Now I have something fun to do.,27,f,married,n
3161,My boss gave me a compliment and assured me of my job security.,29,f,single,n
3162,"I went to Great Falls, Virginia, and saw many people from many countries, all mingling and enjoying the fast spray of water as a co-mingled excited appreciation. It was such fun to watch, for over an hour, at three different look-out ramps, people and their families (many from other countries on vacation) just chatting and catching up with one another. It was exhilarating to me to be part of their shared smiles, and ecstatic happiness - that happiness is contagious.",62,f,single,n
3163,My girlfriend called me through phone after a break up at yesterday evening.,35,m,married,y
3164,"Sadly, a co-worker who caused so much drama and problems at work resigned and that made me happy. Finally the drama is gone. ",62,f,married,y
3165,"I was so happy thinking about going to Memphis, seeing Graceland and going to New Orleans on Friday for two weeks.",58,f,married,y
3167,One of the things that made me happy this month is that I went to the doctor and heard all good news.,24,m,single,n
3168,I qualified to attend the I.T.F. Taekwon-do national championship. ,25,m,single,n
3169,"A friend of mine dropped by the other day, and he brought me a beautiful fish he had caught the day before, which we then prepared and ate together.",36,m,single,n
3170,I played with my cat and petted her too.,58,m,married,n
3171,Tasting my wife's chocolate and marshmallow cookies. This was especially special because it was the first time we used the oven in our new house.,31,m,married,n
3172,My friend came over and we played games,23,m,single,n
3173,I saw my 24 week old fetus on ultrasound with my husband and my parents.,32,f,married,n
3174,"Blessed with boy bay on march 23rd, Actually my wife's due date is april 30th due to some reason baby movement is too high suddenly in march 20th so doctor's ask us to wait for 2 or 3 days for normal delivery.The day march 23rd my little one born the day made me not only happy its some think like heaven",26,m,married,n
3175,My grandson was on Skype and he started crying asking my daughter to bring me to him at that very moment.,64,f,married,y
3176,The day i met a girl i really liked.,20,m,single,n
3177,Yesterday my little 1 month daughter was sleeping but started to wake up. I called her name and she gave me this really big smile,26,m,married,y
3178,About 3 weeks ago I was reunited with the love of my life and we got back together.,34,f,single,y
3179,"I won an auction on eBay for a 4th Generation, 64GB WiFi iPad. ",31,m,married,n
3180,I emailed a professor asking for his assistance on a project and he agreed to help.,24,f,single,n
3181,The first moment I can think of is how happy I felt when I was able to finish my college project and submit it before the deadline.,21,m,single,n
3182,Seeing pictures of my newly born niece made me extremely happy.,30,m,single,n
3183,My dog just hit the ground and rolled with all 4 feet in the air for several minutes and made me laugh.,46,f,single,n
3184,My boyfriend called to tell me he was thinking of me and we talked for half an hour.,54,f,single,n
3185,One event that made me happy was when I was able to reach a certain threshold in my video game.,22,m,single,n
3186,I got to see my parents this week since they are in town to visit!,30,f,single,y
3187,"This morning my 8 year old son asked if he could wear a shirt and tie to school today. When I asked him why, he said I feel like a businessman when I dress up and I work harder. Cant argue with that. The 2nd grade just got a businessman in class today. ",44,m,married,y
3188,Winning first in a gpp tourney in daily fantasy sports made me happy.,44,m,single,y
3189,"I was happy when I got a part time job at a local outdoors store. I had submitted so many online job applications and had no responses back. I decided to go on a backpacking trip and saw that the store I go to was hiring. I submitted my application in person and the following week, I was hired.
",22,m,single,n
3190,"A few days ago, my boyfriend found $400 that had been tucked away in an envelope that got lost amongst a bunch of other papers in storage.",21,f,single,n
3191,"I was starving for almost half the day and when I went to eat, I got my favorite pizza. This made my day.",24,m,single,n
3192,"I saw a woman meet this man while waiting for two different airplanes. When he left to board his plane, he kissed her.",51,m,widowed,n
3193,Three weeks ago I was accepted into the graduate school I had spent months applying for! ,26,m,single,n
3194,I stayed on my diet.,54,f,married,y
3195,I recently completed my undergraduate degree and now just got accepted to a school for my masters. ,23,m,single,n
3196,Something that made me happy was having a nice family dinner with my parents and brother.,25,m,single,n
3197,I felt happy yesterday when I was playing blocks with my two year old,33,f,married,y
3200,"I went to see the show South Pacific with my wife.  I have always enjoyed Broadway shows, but had never gotten a chance to see South Pacific until my wife surprised me with tickets to the show. It made me very happy and the show was a pleasure to watch.",46,m,married,y
3201,When the media director where I work told me he'd sat a guy down and told him to stop showing up.,49,f,divorced,y
3202,I had a glass of iced coffee in the morning.,35,f,single,y
3203,In the past three months a lot has changed in my life. I moved out of my families house to go live by myself to be an independent human being. I have never been so happy. I have so much freedom and control of my life and its amazing. ,28,m,single,n
3204,When my husband offered to give me a back massage.,27,f,married,y
3205,Waking up to see my investment portfolio has grown over 10%!,30,m,single,n
3206,"Someone just gave me a piece of really dark chocolate - so dark, so bitter, so good. ",35,m,married,y
3207,"I interviewed for a high paying job.  I was very nervous since there were 3 rounds of the interviews and the final one was a very technical tough coding  challenge round.  Much to my surprise, I performed very well and when I heard from the interviewer that he would talk to the hiring manager and inform him that interview went very well it was like music to my ears. ",51,m,married,y
3208,"Two months before i very felt about the life,i think this is very sad life.But one day my boss call me and given a new post also i got huge salary,on that day i really very happy.",29,m,separated,n
3209,The weather has been weird here in Michigan this Winter and we needed to sell our motor home and the weather cracked and we had some warm days that were not supposed to be here.  It made me SO HAPPY to sell our motor home during this time of unseasonal warmth!  We were able to show it to a bunch of people and this beautiful young couple came and looked at it and bought it the next day.,55,f,married,n
3210,I went to Indiana to see my former Priests and my good friends.  I used to work at Fort Wayne for over five years.  I now live in Dallas area.,32,m,married,y
3211,I celebrated my birthday in February.,28,m,single,n
3212,Snuggling my dog and having her give me her stinky breath kisses,34,f,married,y
3213,I sat with my 9 year old step son and 2 year old son and we spent the evening sitting together and laughing as my 9 year old read his Grumpy Cat book out loud to his little brother.,47,m,married,y
3214,This kind of event makes me everyday happy when i saw someone i like on tv or internet and when i browse my internet i saw them and my kids to greet or kiss or hug me daily this small gesture makes me happy everyday.,27,f,single,y
3215,Yesterday morning my dogs let me sleep for an extra half hour without bothering me.,41,f,married,y
3216,I got to take a mini vacation ,28,f,single,n
3217,"Made myself a great breakfast....enjoyed it more than usual...it came out ""picture-perfect""....",55,f,single,n
3218,Watching the helicopter take off at the tons of trucks event.,33,f,married,y
3219,When I bought my new iPhone 7.,39,f,married,y
3220,My husband took me on a date. We walked the town trail and talked. Then we went to a new restaurant.,37,f,married,y
3221,"In the last 24 hours me and my husband decided that we were going to renew our vowels it made me very excited to know that we are still in love after 43 years of marriage, ",22,f,married,y
3222,"My cat let me sleep on him for a couple of hours, I smelled his fur while I cried, and he purred, I knew someone cared",56,f,divorced,n
